Gender,Age,Height,Weight,BMI,Weight Category,Recommended Supplements,Recommended Exercises,Exercise Instructions,Activity Level
Female,61,150,62,27.6,Overweight,Vitamin D,Pilates,Do HIIT workouts 2-3 times a week.,Lightly active
Female,37,169,113,39.6,Obesity,Protein,Yoga,Do HIIT workouts 2-3 times a week.,Lightly active
Other,41,177,98,31.3,Obesity,Creatine,HIIT,Follow a strength training regimen 3 times a week.,Moderately active
Female,49,165,74,27.2,Overweight,Creatine,Strength training,Practice yoga 3 times a week for flexibility.,Very active
Other,58,196,89,23.2,Normal weight,Vitamin D,Strength training,Do HIIT workouts 2-3 times a week.,Sedentary
Other,53,166,63,22.9,Normal weight,Multivitamin,Cardio,Incorporate Pilates exercises into your routine.,Very active
Male,51,189,78,21.8,Normal weight,Creatine,Cardio,Follow a strength training regimen 3 times a week.,Very active
Other,53,177,57,18.2,Underweight,Creatine,Pilates,Do HIIT workouts 2-3 times a week.,Sedentary
Male,19,161,87,33.6,Obesity,Multivitamin,Pilates,Practice yoga 3 times a week for flexibility.,Moderately active
Other,32,176,106,34.2,Obesity,Protein,HIIT,Follow a strength training regimen 3 times a week.,Lightly active
Other,51,191,66,18.1,Underweight,Creatine,Cardio,Practice yoga 3 times a week for flexibility.,Moderately active
Male,53,196,96,25,Overweight,Omega-3,Cardio,Practice yoga 3 times a week for flexibility.,Moderately active
Male,23,179,96,30,Obesity,Creatine,Pilates,Practice yoga 3 times a week for flexibility.,Lightly active
Other,56,190,80,22.2,Normal weight,Protein,Pilates,Follow a strength training regimen 3 times a week.,Very active
Female,59,183,117,34.9,Obesity,Protein,Pilates,Do HIIT workouts 2-3 times a week.,Lightly active
Male,29,186,63,18.2,Underweight,Vitamin D,Strength training,Do 30 minutes of cardio daily.,Sedentary
Female,20,155,82,34.1,Obesity,Omega-3,Yoga,Do HIIT workouts 2-3 times a week.,Lightly active
Female,62,156,114,46.8,Obesity,Protein,Yoga,Follow a strength training regimen 3 times a week.,Very active
Female,35,181,101,30.8,Obesity,Multivitamin,Cardio,Do 30 minutes of cardio daily.,Moderately active
Male,57,181,64,19.5,Normal weight,Omega-3,Strength training,Do 30 minutes of cardio daily.,Moderately active
Female,38,174,53,17.5,Underweight,Omega-3,Pilates,Do 30 minutes of cardio daily.,Lightly active
Male,32,182,76,22.9,Normal weight,Multivitamin,Cardio,Incorporate Pilates exercises into your routine.,Sedentary
Female,50,156,48,19.7,Normal weight,Creatine,Strength training,Follow a strength training regimen 3 times a week.,Very active
Other,52,161,94,36.3,Obesity,Multivitamin,HIIT,Incorporate Pilates exercises into your routine.,Moderately active
Other,43,165,49,18,Underweight,Multivitamin,Strength training,Do 30 minutes of cardio daily.,Lightly active
Male,25,165,64,23.5,Normal weight,Creatine,Cardio,Incorporate Pilates exercises into your routine.,Sedentary
Other,53,192,119,32.3,Obesity,Creatine,Yoga,Incorporate Pilates exercises into your routine.,Sedentary
Other,47,185,81,23.7,Normal weight,Creatine,Pilates,Follow a strength training regimen 3 times a week.,Moderately active
Female,40,162,66,25.1,Overweight,Creatine,HIIT,Practice yoga 3 times a week for flexibility.,Moderately active
Male,59,156,102,41.9,Obesity,Creatine,Strength training,Incorporate Pilates exercises into your routine.,Very active
Female,61,185,112,32.7,Obesity,Multivitamin,Cardio,Incorporate Pilates exercises into your routine.,Sedentary
Female,31,196,88,22.9,Normal weight,Vitamin D,Cardio,Do 30 minutes of cardio daily.,Very active
Female,31,158,78,31.2,Obesity,Vitamin D,Pilates,Do 30 minutes of cardio daily.,Sedentary
Female,19,181,86,26.3,Overweight,Protein,Cardio,Do 30 minutes of cardio daily.,Sedentary
Female,54,160,53,20.7,Normal weight,Vitamin D,Cardio,Do HIIT workouts 2-3 times a week.,Lightly active
Female,22,157,51,20.7,Normal weight,Vitamin D,Pilates,Incorporate Pilates exercises into your routine.,Moderately active
Female,55,182,112,33.8,Obesity,Multivitamin,HIIT,Do 30 minutes of cardio daily.,Sedentary
Male,62,172,63,21.3,Normal weight,Creatine,Yoga,Follow a strength training regimen 3 times a week.,Very active
Other,58,174,75,24.8,Normal weight,Creatine,Yoga,Do HIIT workouts 2-3 times a week.,Moderately active
Female,64,157,79,32,Obesity,Multivitamin,Strength training,Practice yoga 3 times a week for flexibility.,Very active
Female,31,194,101,26.8,Overweight,Vitamin D,HIIT,Incorporate Pilates exercises into your routine.,Moderately active
Female,56,171,105,35.9,Obesity,Multivitamin,Strength training,Incorporate Pilates exercises into your routine.,Moderately active
Female,42,153,75,32,Obesity,Protein,Yoga,Follow a strength training regimen 3 times a week.,Sedentary
Female,37,189,97,27.2,Overweight,Creatine,Pilates,Practice yoga 3 times a week for flexibility.,Lightly active
Female,19,152,76,32.9,Obesity,Omega-3,Cardio,Practice yoga 3 times a week for flexibility.,Sedentary
Other,56,178,110,34.7,Obesity,Protein,Yoga,Do HIIT workouts 2-3 times a week.,Moderately active
Other,23,190,103,28.5,Overweight,Protein,HIIT,Incorporate Pilates exercises into your routine.,Sedentary
Female,34,178,54,17,Underweight,Multivitamin,Yoga,Do 30 minutes of cardio daily.,Sedentary
Other,42,183,46,13.7,Underweight,Vitamin D,HIIT,Follow a strength training regimen 3 times a week.,Moderately active
Male,45,183,110,32.8,Obesity,Creatine,HIIT,Follow a strength training regimen 3 times a week.,Moderately active
Female,19,177,104,33.2,Obesity,Omega-3,HIIT,Follow a strength training regimen 3 times a week.,Sedentary
Male,52,162,61,23.2,Normal weight,Protein,Strength training,Follow a strength training regimen 3 times a week.,Sedentary
Male,54,164,60,22.3,Normal weight,Omega-3,Pilates,Do 30 minutes of cardio daily.,Sedentary
Female,22,172,60,20.3,Normal weight,Vitamin D,Yoga,Do 30 minutes of cardio daily.,Very active
Other,18,193,90,24.2,Normal weight,Vitamin D,Pilates,Do HIIT workouts 2-3 times a week.,Sedentary
Male,57,175,83,27.1,Overweight,Omega-3,Cardio,Incorporate Pilates exercises into your routine.,Very active
Female,29,153,75,32,Obesity,Creatine,Yoga,Do 30 minutes of cardio daily.,Lightly active
Male,53,175,45,14.7,Underweight,Vitamin D,Pilates,Do HIIT workouts 2-3 times a week.,Very active
Male,62,189,55,15.4,Underweight,Omega-3,Pilates,Practice yoga 3 times a week for flexibility.,Sedentary
Male,40,158,48,19.2,Normal weight,Protein,Cardio,Incorporate Pilates exercises into your routine.,Lightly active
Male,64,154,115,48.5,Obesity,Omega-3,HIIT,Do 30 minutes of cardio daily.,Very active
Other,48,181,70,21.4,Normal weight,Omega-3,Yoga,Practice yoga 3 times a week for flexibility.,Very active
Male,28,169,94,32.9,Obesity,Multivitamin,Yoga,Do HIIT workouts 2-3 times a week.,Moderately active
Male,27,199,56,14.1,Underweight,Vitamin D,Cardio,Do 30 minutes of cardio daily.,Lightly active
Male,20,160,119,46.5,Obesity,Creatine,HIIT,Do 30 minutes of cardio daily.,Moderately active
Other,31,164,109,40.5,Obesity,Creatine,Yoga,Practice yoga 3 times a week for flexibility.,Lightly active
Male,33,181,91,27.8,Overweight,Multivitamin,Yoga,Do 30 minutes of cardio daily.,Very active
Male,27,177,97,31,Obesity,Creatine,Yoga,Follow a strength training regimen 3 times a week.,Moderately active
Other,46,171,115,39.3,Obesity,Omega-3,HIIT,Do 30 minutes of cardio daily.,Sedentary
Other,27,190,46,12.7,Underweight,Multivitamin,Cardio,Incorporate Pilates exercises into your routine.,Very active
Other,29,166,68,24.7,Normal weight,Protein,Yoga,Practice yoga 3 times a week for flexibility.,Lightly active
Male,47,175,48,15.7,Underweight,Vitamin D,Pilates,Incorporate Pilates exercises into your routine.,Lightly active
Other,58,193,63,16.9,Underweight,Vitamin D,HIIT,Do HIIT workouts 2-3 times a week.,Moderately active
Other,18,156,70,28.8,Overweight,Vitamin D,Strength training,Incorporate Pilates exercises into your routine.,Moderately active
Male,22,191,119,32.6,Obesity,Omega-3,Cardio,Follow a strength training regimen 3 times a week.,Lightly active
Other,37,175,84,27.4,Overweight,Protein,Pilates,Follow a strength training regimen 3 times a week.,Very active
Male,25,174,94,31,Obesity,Multivitamin,Yoga,Incorporate Pilates exercises into your routine.,Moderately active
Female,60,159,87,34.4,Obesity,Multivitamin,Strength training,Do HIIT workouts 2-3 times a week.,Sedentary
Other,29,194,119,31.6,Obesity,Vitamin D,Cardio,Do 30 minutes of cardio daily.,Lightly active
Female,18,168,111,39.3,Obesity,Protein,HIIT,Follow a strength training regimen 3 times a week.,Sedentary
Male,37,160,56,21.9,Normal weight,Protein,Strength training,Incorporate Pilates exercises into your routine.,Lightly active
Other,45,162,111,42.3,Obesity,Protein,Strength training,Incorporate Pilates exercises into your routine.,Sedentary
Male,60,157,71,28.8,Overweight,Creatine,Pilates,Incorporate Pilates exercises into your routine.,Very active
Female,54,189,98,27.4,Overweight,Creatine,Cardio,Do 30 minutes of cardio daily.,Lightly active
Male,64,153,110,47,Obesity,Vitamin D,Pilates,Practice yoga 3 times a week for flexibility.,Very active
Other,54,196,93,24.2,Normal weight,Protein,Pilates,Do HIIT workouts 2-3 times a week.,Moderately active
Other,29,180,60,18.5,Normal weight,Protein,Yoga,Practice yoga 3 times a week for flexibility.,Lightly active
Female,54,177,46,14.7,Underweight,Multivitamin,HIIT,Do HIIT workouts 2-3 times a week.,Very active
Male,61,160,104,40.6,Obesity,Multivitamin,Strength training,Do HIIT workouts 2-3 times a week.,Sedentary
Other,45,192,98,26.6,Overweight,Vitamin D,Cardio,Incorporate Pilates exercises into your routine.,Very active
Female,64,150,74,32.9,Obesity,Protein,HIIT,Follow a strength training regimen 3 times a week.,Lightly active
Other,32,198,82,20.9,Normal weight,Vitamin D,HIIT,Incorporate Pilates exercises into your routine.,Very active
Other,23,196,72,18.7,Normal weight,Multivitamin,Cardio,Do 30 minutes of cardio daily.,Sedentary
Male,61,187,69,19.7,Normal weight,Multivitamin,HIIT,Do HIIT workouts 2-3 times a week.,Sedentary
Other,37,173,54,18,Underweight,Creatine,Yoga,Follow a strength training regimen 3 times a week.,Sedentary
Male,31,196,104,27.1,Overweight,Vitamin D,HIIT,Do HIIT workouts 2-3 times a week.,Moderately active
Other,19,180,86,26.5,Overweight,Vitamin D,Yoga,Do HIIT workouts 2-3 times a week.,Lightly active
Female,26,190,84,23.3,Normal weight,Protein,Strength training,Incorporate Pilates exercises into your routine.,Sedentary
Other,54,195,86,22.6,Normal weight,Protein,Strength training,Follow a strength training regimen 3 times a week.,Moderately active
Male,37,199,91,23,Normal weight,Creatine,Pilates,Follow a strength training regimen 3 times a week.,Sedentary
Male,43,175,81,26.4,Overweight,Omega-3,Yoga,Do HIIT workouts 2-3 times a week.,Very active
Female,46,198,66,16.8,Underweight,Omega-3,Strength training,Follow a strength training regimen 3 times a week.,Lightly active
Other,18,199,101,25.5,Overweight,Omega-3,HIIT,Follow a strength training regimen 3 times a week.,Very active
Other,52,154,71,29.9,Obesity,Vitamin D,Cardio,Incorporate Pilates exercises into your routine.,Moderately active
Female,23,169,85,29.8,Overweight,Vitamin D,Cardio,Practice yoga 3 times a week for flexibility.,Very active
Other,54,190,78,21.6,Normal weight,Multivitamin,Yoga,Do 30 minutes of cardio daily.,Very active
Other,22,160,76,29.7,Overweight,Vitamin D,Pilates,Practice yoga 3 times a week for flexibility.,Sedentary
Male,50,182,110,33.2,Obesity,Vitamin D,HIIT,Follow a strength training regimen 3 times a week.,Very active
Other,31,199,56,14.1,Underweight,Vitamin D,Yoga,Do HIIT workouts 2-3 times a week.,Sedentary
Other,29,187,84,24,Normal weight,Creatine,Cardio,Do 30 minutes of cardio daily.,Sedentary
Female,59,176,117,37.8,Obesity,Vitamin D,Yoga,Do 30 minutes of cardio daily.,Lightly active
Female,37,183,117,34.9,Obesity,Protein,HIIT,Do HIIT workouts 2-3 times a week.,Moderately active
Male,41,164,54,20.1,Normal weight,Protein,Strength training,Do 30 minutes of cardio daily.,Moderately active
Other,60,181,92,28.1,Overweight,Multivitamin,HIIT,Do HIIT workouts 2-3 times a week.,Moderately active
Other,51,170,64,22.1,Normal weight,Creatine,Strength training,Do 30 minutes of cardio daily.,Sedentary
Other,42,195,83,21.8,Normal weight,Protein,Strength training,Practice yoga 3 times a week for flexibility.,Moderately active
Male,46,154,104,43.9,Obesity,Creatine,Strength training,Do 30 minutes of cardio daily.,Sedentary
Male,56,155,110,45.8,Obesity,Creatine,Yoga,Incorporate Pilates exercises into your routine.,Lightly active
Female,48,187,109,31.2,Obesity,Multivitamin,Cardio,Do HIIT workouts 2-3 times a week.,Moderately active
Male,64,171,95,32.5,Obesity,Creatine,Yoga,Do 30 minutes of cardio daily.,Sedentary
Other,60,167,80,28.7,Overweight,Vitamin D,Cardio,Do HIIT workouts 2-3 times a week.,Moderately active
Other,40,163,68,25.6,Overweight,Creatine,HIIT,Incorporate Pilates exercises into your routine.,Moderately active
Male,61,159,71,28.1,Overweight,Multivitamin,Pilates,Do 30 minutes of cardio daily.,Lightly active
Other,55,195,46,12.1,Underweight,Multivitamin,HIIT,Do 30 minutes of cardio daily.,Very active
Other,37,162,75,28.6,Overweight,Multivitamin,Yoga,Incorporate Pilates exercises into your routine.,Moderately active
Male,40,180,101,31.2,Obesity,Protein,Yoga,Incorporate Pilates exercises into your routine.,Lightly active
Male,62,179,110,34.3,Obesity,Vitamin D,Cardio,Incorporate Pilates exercises into your routine.,Moderately active
Other,33,152,73,31.6,Obesity,Protein,Yoga,Do HIIT workouts 2-3 times a week.,Moderately active
Other,59,179,59,18.4,Underweight,Omega-3,Strength training,Incorporate Pilates exercises into your routine.,Moderately active
Other,25,155,56,23.3,Normal weight,Vitamin D,Yoga,Do HIIT workouts 2-3 times a week.,Moderately active
Female,38,178,72,22.7,Normal weight,Creatine,Cardio,Practice yoga 3 times a week for flexibility.,Very active
Female,18,157,68,27.6,Overweight,Multivitamin,Cardio,Do 30 minutes of cardio daily.,Very active
Female,25,193,65,17.5,Underweight,Omega-3,Strength training,Do 30 minutes of cardio daily.,Moderately active
Male,46,194,54,14.3,Underweight,Vitamin D,Cardio,Follow a strength training regimen 3 times a week.,Moderately active
Female,49,192,62,16.8,Underweight,Protein,Pilates,Practice yoga 3 times a week for flexibility.,Lightly active
Male,55,193,58,15.6,Underweight,Multivitamin,HIIT,Incorporate Pilates exercises into your routine.,Lightly active
Male,22,182,78,23.5,Normal weight,Protein,Yoga,Incorporate Pilates exercises into your routine.,Sedentary
Female,64,166,102,37,Obesity,Vitamin D,Pilates,Practice yoga 3 times a week for flexibility.,Very active
Female,39,197,66,17,Underweight,Vitamin D,Yoga,Incorporate Pilates exercises into your routine.,Moderately active
Female,64,160,114,44.5,Obesity,Omega-3,Pilates,Follow a strength training regimen 3 times a week.,Very active
Other,51,162,80,30.5,Obesity,Creatine,Yoga,Do HIIT workouts 2-3 times a week.,Lightly active
Female,18,199,89,22.5,Normal weight,Protein,Strength training,Do 30 minutes of cardio daily.,Very active
Other,43,160,80,31.2,Obesity,Omega-3,Cardio,Practice yoga 3 times a week for flexibility.,Very active
Male,60,180,66,20.4,Normal weight,Multivitamin,Cardio,Do 30 minutes of cardio daily.,Moderately active
Other,27,177,105,33.5,Obesity,Creatine,Strength training,Do HIIT workouts 2-3 times a week.,Moderately active
Female,47,193,100,26.8,Overweight,Omega-3,Pilates,Practice yoga 3 times a week for flexibility.,Lightly active
Male,35,155,77,32,Obesity,Protein,HIIT,Do HIIT workouts 2-3 times a week.,Moderately active
Male,34,190,89,24.7,Normal weight,Vitamin D,Pilates,Incorporate Pilates exercises into your routine.,Lightly active
Male,43,165,80,29.4,Overweight,Multivitamin,Cardio,Incorporate Pilates exercises into your routine.,Lightly active
Other,25,153,64,27.3,Overweight,Protein,HIIT,Incorporate Pilates exercises into your routine.,Sedentary
Female,64,184,62,18.3,Underweight,Creatine,Yoga,Do HIIT workouts 2-3 times a week.,Sedentary
Male,57,197,82,21.1,Normal weight,Creatine,HIIT,Do HIIT workouts 2-3 times a week.,Sedentary
Male,29,175,111,36.2,Obesity,Vitamin D,Pilates,Do HIIT workouts 2-3 times a week.,Very active
Male,44,161,67,25.8,Overweight,Vitamin D,Strength training,Do 30 minutes of cardio daily.,Sedentary
Other,25,160,60,23.4,Normal weight,Multivitamin,Yoga,Do HIIT workouts 2-3 times a week.,Moderately active
Other,42,186,103,29.8,Overweight,Multivitamin,Pilates,Incorporate Pilates exercises into your routine.,Moderately active
Female,63,174,113,37.3,Obesity,Vitamin D,Yoga,Follow a strength training regimen 3 times a week.,Sedentary
Other,21,167,112,40.2,Obesity,Vitamin D,HIIT,Do HIIT workouts 2-3 times a week.,Very active
Male,50,168,65,23,Normal weight,Creatine,Cardio,Follow a strength training regimen 3 times a week.,Lightly active
Female,18,172,114,38.5,Obesity,Vitamin D,Pilates,Incorporate Pilates exercises into your routine.,Very active
Male,36,187,56,16,Underweight,Omega-3,Strength training,Do HIIT workouts 2-3 times a week.,Very active
Male,48,167,60,21.5,Normal weight,Protein,HIIT,Do 30 minutes of cardio daily.,Lightly active
Other,33,175,58,18.9,Normal weight,Vitamin D,Pilates,Do 30 minutes of cardio daily.,Lightly active
Female,31,155,105,43.7,Obesity,Multivitamin,Strength training,Follow a strength training regimen 3 times a week.,Lightly active
Other,22,153,115,49.1,Obesity,Omega-3,Pilates,Do 30 minutes of cardio daily.,Moderately active
Other,58,193,90,24.2,Normal weight,Multivitamin,HIIT,Do 30 minutes of cardio daily.,Lightly active
Female,43,178,76,24,Normal weight,Omega-3,Pilates,Do 30 minutes of cardio daily.,Lightly active
Male,45,183,59,17.6,Underweight,Vitamin D,Yoga,Incorporate Pilates exercises into your routine.,Very active
Male,19,166,88,31.9,Obesity,Protein,HIIT,Do 30 minutes of cardio daily.,Very active
Female,23,192,61,16.5,Underweight,Multivitamin,Pilates,Practice yoga 3 times a week for flexibility.,Sedentary
Male,26,192,85,23.1,Normal weight,Omega-3,Cardio,Do HIIT workouts 2-3 times a week.,Very active
Female,50,165,98,36,Obesity,Creatine,Pilates,Do 30 minutes of cardio daily.,Lightly active
Female,58,151,88,38.6,Obesity,Vitamin D,Yoga,Do 30 minutes of cardio daily.,Moderately active
Other,42,183,49,14.6,Underweight,Protein,Strength training,Do 30 minutes of cardio daily.,Very active
Female,30,157,71,28.8,Overweight,Vitamin D,Strength training,Practice yoga 3 times a week for flexibility.,Very active
Other,26,162,87,33.2,Obesity,Creatine,Strength training,Do 30 minutes of cardio daily.,Lightly active
Male,30,191,75,20.6,Normal weight,Protein,Cardio,Do 30 minutes of cardio daily.,Very active
Male,48,157,61,24.7,Normal weight,Creatine,Yoga,Do HIIT workouts 2-3 times a week.,Very active
Male,58,179,98,30.6,Obesity,Vitamin D,HIIT,Practice yoga 3 times a week for flexibility.,Lightly active
Male,28,181,106,32.4,Obesity,Omega-3,Strength training,Practice yoga 3 times a week for flexibility.,Very active
Other,21,185,76,22.2,Normal weight,Vitamin D,Yoga,Do 30 minutes of cardio daily.,Moderately active
Male,51,196,84,21.9,Normal weight,Vitamin D,Pilates,Practice yoga 3 times a week for flexibility.,Sedentary
Female,55,179,57,17.8,Underweight,Vitamin D,Cardio,Follow a strength training regimen 3 times a week.,Very active
Female,63,150,79,35.1,Obesity,Multivitamin,Yoga,Practice yoga 3 times a week for flexibility.,Moderately active
Female,21,192,49,13.3,Underweight,Creatine,Yoga,Practice yoga 3 times a week for flexibility.,Very active
Other,55,188,117,33.1,Obesity,Creatine,HIIT,Practice yoga 3 times a week for flexibility.,Sedentary
Male,36,166,73,26.5,Overweight,Creatine,Yoga,Incorporate Pilates exercises into your routine.,Lightly active
Male,23,169,114,39.9,Obesity,Multivitamin,HIIT,Incorporate Pilates exercises into your routine.,Sedentary
Male,51,173,69,23.1,Normal weight,Omega-3,Cardio,Incorporate Pilates exercises into your routine.,Very active
Other,35,199,66,16.7,Underweight,Vitamin D,Cardio,Practice yoga 3 times a week for flexibility.,Sedentary
Female,30,171,110,37.6,Obesity,Omega-3,Pilates,Follow a strength training regimen 3 times a week.,Sedentary
Female,58,178,89,28.1,Overweight,Multivitamin,HIIT,Practice yoga 3 times a week for flexibility.,Lightly active
Male,40,171,113,38.6,Obesity,Creatine,HIIT,Do 30 minutes of cardio daily.,Very active
Female,36,193,116,31.1,Obesity,Vitamin D,Strength training,Follow a strength training regimen 3 times a week.,Sedentary
Female,62,158,45,18,Underweight,Protein,Strength training,Incorporate Pilates exercises into your routine.,Sedentary
Other,28,186,88,25.4,Overweight,Protein,Pilates,Do HIIT workouts 2-3 times a week.,Lightly active
Other,18,159,119,47.1,Obesity,Omega-3,Cardio,Follow a strength training regimen 3 times a week.,Moderately active
Other,41,185,83,24.3,Normal weight,Creatine,Strength training,Incorporate Pilates exercises into your routine.,Very active
Other,24,186,98,28.3,Overweight,Protein,Yoga,Follow a strength training regimen 3 times a week.,Moderately active
Male,42,177,119,38,Obesity,Omega-3,Cardio,Follow a strength training regimen 3 times a week.,Moderately active
Other,38,177,73,23.3,Normal weight,Multivitamin,Yoga,Practice yoga 3 times a week for flexibility.,Lightly active
Female,32,191,98,26.9,Overweight,Omega-3,HIIT,Do 30 minutes of cardio daily.,Lightly active
Male,18,192,60,16.3,Underweight,Omega-3,Cardio,Do HIIT workouts 2-3 times a week.,Very active
Female,29,170,64,22.1,Normal weight,Omega-3,Pilates,Incorporate Pilates exercises into your routine.,Moderately active
Female,24,173,90,30.1,Obesity,Vitamin D,HIIT,Follow a strength training regimen 3 times a week.,Sedentary
Female,32,191,111,30.4,Obesity,Omega-3,HIIT,Do HIIT workouts 2-3 times a week.,Moderately active
Other,38,189,109,30.5,Obesity,Omega-3,Yoga,Follow a strength training regimen 3 times a week.,Lightly active
Other,36,151,102,44.7,Obesity,Vitamin D,HIIT,Do 30 minutes of cardio daily.,Sedentary
Male,46,157,97,39.4,Obesity,Vitamin D,Strength training,Do HIIT workouts 2-3 times a week.,Sedentary
Male,42,197,45,11.6,Underweight,Multivitamin,Cardio,Incorporate Pilates exercises into your routine.,Lightly active
Other,50,176,110,35.5,Obesity,Creatine,Strength training,Follow a strength training regimen 3 times a week.,Sedentary
Female,49,171,73,25,Overweight,Protein,Yoga,Do 30 minutes of cardio daily.,Moderately active
Male,52,186,114,33,Obesity,Protein,Yoga,Do HIIT workouts 2-3 times a week.,Lightly active
Other,61,176,52,16.8,Underweight,Omega-3,Cardio,Follow a strength training regimen 3 times a week.,Very active
Other,55,178,73,23,Normal weight,Multivitamin,HIIT,Follow a strength training regimen 3 times a week.,Lightly active
Other,43,152,95,41.1,Obesity,Omega-3,Pilates,Incorporate Pilates exercises into your routine.,Very active
Female,28,193,77,20.7,Normal weight,Protein,Yoga,Do 30 minutes of cardio daily.,Very active
Other,52,162,47,17.9,Underweight,Vitamin D,Cardio,Practice yoga 3 times a week for flexibility.,Lightly active
Other,25,194,104,27.6,Overweight,Creatine,Pilates,Follow a strength training regimen 3 times a week.,Lightly active
Other,63,159,79,31.2,Obesity,Multivitamin,HIIT,Do HIIT workouts 2-3 times a week.,Very active
Other,31,185,113,33,Obesity,Vitamin D,Yoga,Incorporate Pilates exercises into your routine.,Very active
Male,27,158,64,25.6,Overweight,Creatine,Cardio,Incorporate Pilates exercises into your routine.,Sedentary
Male,19,176,117,37.8,Obesity,Multivitamin,Cardio,Follow a strength training regimen 3 times a week.,Lightly active
Other,63,,83,24.8,Normal weight,Multivitamin,Cardio,Follow a strength training regimen 3 times a week.,Lightly active
Female,26,150,48,21.3,Normal weight,Protein,Yoga,Follow a strength training regimen 3 times a week.,Sedentary
Male,20,181,63,19.2,Normal weight,Vitamin D,Pilates,Practice yoga 3 times a week for flexibility.,Lightly active
Other,38,174,89,29.4,Overweight,Multivitamin,Cardio,Follow a strength training regimen 3 times a week.,Sedentary
Male,43,178,87,27.5,Overweight,Multivitamin,HIIT,Do 30 minutes of cardio daily.,Sedentary
Male,,156,57,23.4,Normal weight,Creatine,Cardio,Do HIIT workouts 2-3 times a week.,Lightly active
Female,19,198,57,14.5,Underweight,Protein,Pilates,Follow a strength training regimen 3 times a week.,Moderately active
Other,23,152,104,45,Obesity,Omega-3,Yoga,Practice yoga 3 times a week for flexibility.,Very active
Other,45,169,101,35.4,Obesity,Protein,Cardio,Do HIIT workouts 2-3 times a week.,Lightly active
Female,46,169,96,33.6,Obesity,Omega-3,Cardio,Incorporate Pilates exercises into your routine.,Moderately active
